As of Date,2021-08-03 04:05:32
Account,TD Direct Investing - 104298K
Cash,77.78
Investments,14113.60
Total Value,14191.38
Margin,,
,
Symbol,Market,Description,Quantity,Average Cost,Price,Book Cost,Market Value,Unrealized $,Unrealized %,% of Positions,Loan Value,Change Today $,Change Today %,Bid,Bid Lots,Ask,Ask Lots,Volume,Day Low,Day High,52-wk Low,52-wk High
AAPL,US,"APPLE INC",88,47.6835,145.51,4196.15,12804.88,8608.73,205.16,90.23,,0.0,0.00,145.83,1,145.95,1,7259,0.0,0.0,100.82,150.0
TEVA,US,"TEVA PHARMACEUTICAL ADR",133,9.2414,9.84,1229.10,1308.72,79.62,6.48,9.22,,0.0,0.00,9.81,2,9.87,2,0,0.0,0.0,8.24,13.3
