As of Date,2021-08-03 04:05:44
Account,TD Direct Investing - 104298U
Cash,23.05
Investments,7093.76
Total Value,7116.81
Margin,,
,
Symbol,Market,Description,Quantity,Average Cost,Price,Book Cost,Market Value,Unrealized $,Unrealized %,% of Positions,Loan Value,Change Today $,Change Today %,Bid,Bid Lots,Ask,Ask Lots,Volume,Day Low,Day High,52-wk Low,52-wk High
VT,US,"VANGUARD TOT WRLD STK ETF",68,104.6868,104.32,7118.70,7093.76,-24.94,-0.35,99.68,,0.0,0.00,0.0,0,0.0,0,0,0.0,0.0,77.64,105.1
